Consumidor: 41 -> primo
Consumidor: 69 -> nao primo
Consumidor: 165 -> nao primo
Consumidor: 218 -> nao primo
Consumidor: 280 -> nao primo
Consumidor: 367 -> primo
Consumidor: 422 -> nao primo
Consumidor: 449 -> primo
Consumidor: 457 -> primo
Consumidor: 487 -> primo
Consumidor: 495 -> nao primo
Consumidor: 588 -> nao primo
Consumidor: 590 -> nao primo
Consumidor: 638 -> nao primo
Consumidor: 659 -> primo
Consumidor: 693 -> nao primo
Consumidor: 697 -> nao primo
Consumidor: 778 -> nao primo
Consumidor: 823 -> primo
Consumidor: 918 -> nao primo
Consumidor: 1004 -> nao primo
Consumidor: 1025 -> nao primo
Consumidor: 1094 -> nao primo
Consumidor: 1125 -> nao primo
Consumidor: 1207 -> nao primo
Consumidor: 1265 -> nao primo
Consumidor: 1337 -> nao primo
Consumidor: 1393 -> nao primo
Consumidor: 1482 -> nao primo
Consumidor: 1541 -> nao primo
Consumidor: 1639 -> nao primo
Consumidor: 1655 -> nao primo
Consumidor: 1683 -> nao primo
Consumidor: 1764 -> nao primo
Consumidor: 1773 -> nao primo
Consumidor: 1795 -> nao primo
Consumidor: 1858 -> nao primo
Consumidor: 1931 -> primo
Consumidor: 1941 -> nao primo
Consumidor: 1998 -> nao primo
Consumidor: 2085 -> nao primo
Consumidor: 2104 -> nao primo
Consumidor: 2162 -> nao primo
Consumidor: 2175 -> nao primo
Consumidor: 2266 -> nao primo
Consumidor: 2366 -> nao primo
Consumidor: 2402 -> nao primo
Consumidor: 2490 -> nao primo
Consumidor: 2555 -> nao primo
Consumidor: 2569 -> nao primo
Consumidor: 2599 -> nao primo
Consumidor: 2670 -> nao primo
Consumidor: 2748 -> nao primo
Consumidor: 2840 -> nao primo
Consumidor: 2911 -> nao primo
Consumidor: 2981 -> nao primo
Consumidor: 2984 -> nao primo
Consumidor: 3057 -> nao primo
Consumidor: 3103 -> nao primo
Consumidor: 3128 -> nao primo
Consumidor: 3166 -> nao primo
Consumidor: 3171 -> nao primo
Consumidor: 3267 -> nao primo
Consumidor: 3331 -> primo
Consumidor: 3403 -> nao primo
Consumidor: 3448 -> nao primo
Consumidor: 3464 -> nao primo
Consumidor: 3496 -> nao primo
Consumidor: 3504 -> nao primo
Consumidor: 3599 -> nao primo
Consumidor: 3635 -> nao primo
Consumidor: 3689 -> nao primo
Consumidor: 3761 -> primo
Consumidor: 3766 -> nao primo
Consumidor: 3813 -> nao primo
Consumidor: 3854 -> nao primo
Consumidor: 3946 -> nao primo
Consumidor: 3952 -> nao primo
Consumidor: 3959 -> nao primo
Consumidor: 4022 -> nao primo
Consumidor: 4040 -> nao primo
Consumidor: 4047 -> nao primo
Consumidor: 4139 -> primo
Consumidor: 4200 -> nao primo
Consumidor: 4247 -> nao primo
Consumidor: 4302 -> nao primo
Consumidor: 4308 -> nao primo
Consumidor: 4355 -> nao primo
Consumidor: 4414 -> nao primo
Consumidor: 4491 -> nao primo
Consumidor: 4515 -> nao primo
Consumidor: 4537 -> nao primo
Consumidor: 4549 -> primo
Consumidor: 4630 -> nao primo
Consumidor: 4725 -> nao primo
Consumidor: 4825 -> nao primo
Consumidor: 4869 -> nao primo
Consumidor: 4878 -> nao primo
Consumidor: 4977 -> nao primo
Consumidor: 5025 -> nao primo
Consumidor: 5125 -> nao primo
