N,Np,Nc,NumExecTotal,TMedio,TMin,TMax
1,1,1,10,3.7039999999999997,3.46,3.95
1,1,2,10,3.739,3.59,3.94
1,1,4,10,3.872,3.76,3.95
1,1,8,10,3.95,3.83,4.13
1,2,1,10,3.6380000000000003,3.45,3.9
1,4,1,10,3.6420000000000003,3.6,3.66
1,8,1,10,3.6710000000000003,3.62,3.78
10,1,1,10,0.20400000000000001,0.19,0.21
10,1,2,10,0.128,0.12,0.14
10,1,4,10,0.74,0.73,0.75
10,1,8,10,0.774,0.77,0.78
10,2,1,10,0.162,0.15,0.17
10,4,1,10,0.787,0.77,0.81
10,8,1,10,0.796,0.79,0.8
100,1,1,10,0.068,0.06,0.07
100,1,2,10,0.03,0.03,0.03
100,1,4,10,0.6599999999999999,0.62,0.7
100,1,8,10,0.772,0.76,0.79
100,2,1,10,0.123,0.11,0.13
100,4,1,10,0.785,0.78,0.79
100,8,1,10,0.799,0.79,0.8
1000,1,1,10,0.069,0.06,0.07
1000,1,2,10,0.03,0.03,0.03
1000,1,4,10,0.613,0.56,0.65
1000,1,8,10,0.761,0.75,0.77
1000,2,1,10,0.125,0.11,0.16
1000,4,1,10,0.787,0.77,0.82
1000,8,1,10,0.945,0.82,1.33
