N,Np,Nc,Execucao,Tempo_real
1,1,1,1,3.95
1,1,1,2,3.68
1,1,1,3,3.68
1,1,1,4,3.79
1,1,1,5,3.79
1,1,1,6,3.74
1,1,1,7,3.64
1,1,1,8,3.71
1,1,1,9,3.60
1,1,1,10,3.46
1,1,2,1,3.63
1,1,2,2,3.68
1,1,2,3,3.61
1,1,2,4,3.78
1,1,2,5,3.86
1,1,2,6,3.83
1,1,2,7,3.94
1,1,2,8,3.59
1,1,2,9,3.61
1,1,2,10,3.86
1,1,4,1,3.92
1,1,4,2,3.90
1,1,4,3,3.76
1,1,4,4,3.82
1,1,4,5,3.86
1,1,4,6,3.95
1,1,4,7,3.87
1,1,4,8,3.89
1,1,4,9,3.85
1,1,4,10,3.90
1,1,8,1,3.94
1,1,8,2,3.95
1,1,8,3,4.13
1,1,8,4,4.00
1,1,8,5,4.01
1,1,8,6,3.95
1,1,8,7,3.83
1,1,8,8,3.87
1,1,8,9,3.90
1,1,8,10,3.92
1,2,1,1,3.81
1,2,1,2,3.68
1,2,1,3,3.90
1,2,1,4,3.82
1,2,1,5,3.51
1,2,1,6,3.45
1,2,1,7,3.66
1,2,1,8,3.54
1,2,1,9,3.47
1,2,1,10,3.54
1,4,1,1,3.64
1,4,1,2,3.64
1,4,1,3,3.66
1,4,1,4,3.60
1,4,1,5,3.65
1,4,1,6,3.66
1,4,1,7,3.64
1,4,1,8,3.61
1,4,1,9,3.66
1,4,1,10,3.66
1,8,1,1,3.69
1,8,1,2,3.67
1,8,1,3,3.66
1,8,1,4,3.69
1,8,1,5,3.65
1,8,1,6,3.63
1,8,1,7,3.78
1,8,1,8,3.62
1,8,1,9,3.67
1,8,1,10,3.65
10,1,1,1,0.21
10,1,1,2,0.19
10,1,1,3,0.19
10,1,1,4,0.21
10,1,1,5,0.21
10,1,1,6,0.21
10,1,1,7,0.21
10,1,1,8,0.20
10,1,1,9,0.20
10,1,1,10,0.21
10,1,2,1,0.14
10,1,2,2,0.14
10,1,2,3,0.13
10,1,2,4,0.12
10,1,2,5,0.13
10,1,2,6,0.13
10,1,2,7,0.12
10,1,2,8,0.12
10,1,2,9,0.13
10,1,2,10,0.12
10,1,4,1,0.73
10,1,4,2,0.74
10,1,4,3,0.74
10,1,4,4,0.74
10,1,4,5,0.74
10,1,4,6,0.74
10,1,4,7,0.75
10,1,4,8,0.74
10,1,4,9,0.74
10,1,4,10,0.74
10,1,8,1,0.78
10,1,8,2,0.78
10,1,8,3,0.77
10,1,8,4,0.77
10,1,8,5,0.77
10,1,8,6,0.77
10,1,8,7,0.77
10,1,8,8,0.77
10,1,8,9,0.78
10,1,8,10,0.78
10,2,1,1,0.17
10,2,1,2,0.16
10,2,1,3,0.17
10,2,1,4,0.16
10,2,1,5,0.16
10,2,1,6,0.15
10,2,1,7,0.17
10,2,1,8,0.16
10,2,1,9,0.16
10,2,1,10,0.16
10,4,1,1,0.78
10,4,1,2,0.79
10,4,1,3,0.79
10,4,1,4,0.81
10,4,1,5,0.79
10,4,1,6,0.79
10,4,1,7,0.79
10,4,1,8,0.77
10,4,1,9,0.78
10,4,1,10,0.78
